country,cause,beta,gamma,eta,mu,xi,theta,q,Lambda_scaled,Lambda_per_100k_per_year,cause_name
North_Macedonia,Cocaine use disorders,0.9605777859687804,0.3946679234504699,0.3292433321475982,0.009370206,0.004108395,0.1206579953432083,1.7181267738342283,13.378000259399414,1337.8000259399414,Cocaine
Northern_Mariana_Islands,Cocaine use disorders,0.9997334480285645,0.3678810596466064,0.3425844013690948,0.003411529,0.017939452,0.1251923441886901,1.6940356492996216,22.426881790161133,2242.6881790161133,Cocaine
Norway,Cocaine use disorders,0.5537769794464111,0.726481557,0.190517321,0.009009559,0.006927524,0.069226697,2.0477538108825684,12.190147399902344,1219.0147399902344,Cocaine
Oman,Cocaine use disorders,0.9553169012069702,0.3952850997447967,0.3296792805194855,0.002878559,0.005100884,0.119069755,1.7208727598190308,23.218706130981445,2321.8706130981445,Cocaine
Pakistan,Cocaine use disorders,0.999695599,0.3678794503211975,0.3358642756938934,0.008303911,0.017932815,0.1231487542390823,1.694162368774414,34.26667785644531,3426.6677856445312,Cocaine
Palau,Cocaine use disorders,0.9997249841690063,0.3678889870643616,0.3458940088748932,0.009980029,0.01794124,0.1268191933631897,1.6940618753433228,15.096235275268556,1509.6235275268557,Cocaine
Palestine,Cocaine use disorders,1.0118249654769895,0.3922871053218841,0.3057565093040466,0.003949441,0.00529782,0.1122467890381813,1.712151050567627,35.96888351,3596.8883514404297,Cocaine
Panama,Cocaine use disorders,0.5769729018211365,0.7346746921539307,0.1876551508903503,0.004839176,0.007970672,0.067738265,2.0220632553100586,21.693029403686523,2169.3029403686523,Cocaine
Papua_New_Guinea,Cocaine use disorders,0.9611034989356996,0.3894979953765869,0.3182775378227234,0.007480735,0.017015148,0.12451499,1.730534553527832,31.482412338256836,3148.2412338256836,Cocaine
Paraguay,Cocaine use disorders,0.942658544,0.3954987823963165,0.3035749495029449,0.005621412,0.004110503,0.1139070689678192,1.7394630908966064,25.325117111206055,2532.5117111206055,Cocaine
Peru,Cocaine use disorders,0.9059314131736756,0.4110553860664367,0.2818032801151275,0.006385912,0.005646829,0.1058291792869567,1.7565548419952393,21.908470153808594,2190.8470153808594,Cocaine
Philippines,Cocaine use disorders,1.0102158784866333,0.3723623156547546,0.3382108807563782,0.005777794,0.014411058,0.1192120090126991,1.6877553462982178,26.269058227539062,2626.9058227539062,Cocaine
Poland,Cocaine use disorders,0.9276933073997498,0.4018904864788055,0.2992706894874573,0.010201618,0.00372565,0.1063714548945427,1.739535927772522,10.484911918640137,1048.4911918640137,Cocaine
Portugal,Cocaine use disorders,0.5888437628746033,0.7167254686355591,0.1904418915510177,0.010207235,0.006812946,0.06975209,2.0016767978668213,9.782706260681152,978.2706260681152,Cocaine
Qatar,Cocaine use disorders,0.9747787714004515,0.3925540447235107,0.3372391164302826,0.001482971,0.004405334,0.1229365393519401,1.710695743560791,14.51020622253418,1451.020622253418,Cocaine
Republic_of_Korea,Cocaine use disorders,0.5558527112007141,0.7192808389663696,0.190432996,0.005509647,0.00448853,0.069096386,1.4554580450057983,10.311117172241213,1031.111717224121,Cocaine
